# balticporter port map	schema=4	module=sge-l0	engine=balticporter/0.1.0-SNAPSHOT	sources=ac79ba6faef9aecf	files=585	policy=bf82485d0a92d608	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.gdx.AbstractGraphics	sge.AbstractGraphics	Renamed	-		0		companion=yes flags=abstract form=class parents=sge.Graphics primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.AbstractInput	sge.AbstractInput	Renamed	-		0		companion=yes flags=abstract form=class parents=sge.Input primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Application	sge.Application	Renamed	-		0		companion=yes form=trait statics=ApplicationType,LOG_DEBUG,LOG_ERROR,LOG_INFO,LOG_NONE
type	com.badlogic.gdx.Application$ApplicationType	sge.Application$ApplicationType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.ApplicationAdapter	sge.ApplicationAdapter	Renamed	-		0		flags=abstract form=class parents=sge.ApplicationListener primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.ApplicationListener	sge.ApplicationListener	Renamed	-		0		form=trait
type	com.badlogic.gdx.ApplicationLogger	sge.ApplicationLogger	Renamed	-		0		form=trait
type	com.badlogic.gdx.Audio	sge.Audio	Renamed	-		0		form=trait parents=java.lang.AutoCloseable
type	com.badlogic.gdx.Files	sge.Files	Renamed	-		0		companion=yes form=trait statics=FileType
type	com.badlogic.gdx.Files$FileType	sge.Files$FileType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.Game	sge.Game	Renamed	-		0		flags=abstract form=class parents=sge.ApplicationListener primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Gdx	sge.Gdx	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Graphics	sge.Graphics	Renamed	-		0		companion=yes form=trait statics=BufferFormat,DisplayMode,GraphicsType,Monitor
type	com.badlogic.gdx.Graphics$BufferFormat	sge.Graphics$BufferFormat	Renamed	-		0		form=class primary=(int,int,int,int,int,int,int,boolean) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Graphics$DisplayMode	sge.Graphics$DisplayMode	Renamed	-		0		form=class primary=(int,int,int,int) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Graphics$GraphicsType	sge.Graphics$GraphicsType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.Graphics$Monitor	sge.Graphics$Monitor	Renamed	-		0		form=class primary=(int,int,String) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Input	sge.Input	Renamed	-		0		companion=yes form=trait statics=Buttons,InputStringValidator,KeyboardHeightObserver,Keys,OnscreenKeyboardType,Orientation,Peripheral,TextInputListener,VibrationType
type	com.badlogic.gdx.Input$Buttons	sge.Input$Buttons	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Input$InputStringValidator	sge.Input$InputStringValidator	Renamed	-		0		form=trait
type	com.badlogic.gdx.Input$KeyboardHeightObserver	sge.Input$KeyboardHeightObserver	Renamed	-		0		form=trait
type	com.badlogic.gdx.Input$Keys	sge.Input$Keys	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Input$OnscreenKeyboardType	sge.Input$OnscreenKeyboardType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.Input$Orientation	sge.Input$Orientation	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.Input$Peripheral	sge.Input$Peripheral	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.Input$TextInputListener	sge.Input$TextInputListener	Renamed	-		0		form=trait
type	com.badlogic.gdx.Input$VibrationType	sge.Input$VibrationType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.InputAdapter	sge.InputAdapter	Renamed	-		0		form=class parents=sge.InputProcessor primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.InputEventQueue	sge.InputEventQueue	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=KEY_DOWN,KEY_TYPED,KEY_UP,MOUSE_MOVED,SCROLLED,SKIP,TOUCH_DOWN,TOUCH_DRAGGED,TOUCH_UP
type	com.badlogic.gdx.InputMultiplexer	sge.InputMultiplexer	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.InputProcessor primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(InputProcessor[])
type	com.badlogic.gdx.InputProcessor	sge.InputProcessor	Renamed	-		0		form=trait
type	com.badlogic.gdx.LifecycleListener	sge.LifecycleListener	Renamed	-		0		form=trait
type	com.badlogic.gdx.Net	sge.Net	Renamed	-		0		companion=yes form=trait statics=HttpMethods,HttpRequest,HttpResponse,HttpResponseListener,Protocol
type	com.badlogic.gdx.Net$HttpMethods	sge.Net$HttpMethods	Renamed	-		0		companion=yes form=trait statics=DELETE,GET,HEAD,PATCH,POST,PUT
type	com.badlogic.gdx.Net$HttpRequest	sge.Net$HttpRequest	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.utils.Pool$Poolable primary=(String,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(String)
type	com.badlogic.gdx.Net$HttpResponse	sge.Net$HttpResponse	Renamed	-		0		form=trait
type	com.badlogic.gdx.Net$HttpResponseListener	sge.Net$HttpResponseListener	Renamed	-		0		form=trait
type	com.badlogic.gdx.Net$Protocol	sge.Net$Protocol	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.badlogic.gdx.Preferences	sge.Preferences	Renamed	-		0		form=trait
type	com.badlogic.gdx.Screen	sge.Screen	Renamed	-		0		form=trait parents=java.lang.AutoCloseable
type	com.badlogic.gdx.ScreenAdapter	sge.ScreenAdapter	Renamed	-		0		form=class parents=sge.Screen primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.Version	sge.Version	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.AssetDescriptor	sge.assets.AssetDescriptor	Renamed	-		0		form=class primary=() primaryKind=not-funnelled primaryVis=public secondaries=(String,Class);(FileHandle,Class);(String,Class,AssetLoaderParameters);(FileHandle,Class,AssetLoaderParameters) tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.assets.AssetErrorListener	sge.assets.AssetErrorListener	Renamed	-		0		form=trait
type	com.badlogic.gdx.assets.AssetLoaderParameters	sge.assets.AssetLoaderParameters	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=LoadedCallback tparams="[T <: java.lang.Object]"
type	com.badlogic.gdx.assets.AssetLoaderParameters$LoadedCallback	sge.assets.AssetLoaderParameters$LoadedCallback	Renamed	-		0		form=trait
type	com.badlogic.gdx.assets.AssetLoadingTask	sge.assets.AssetLoadingTask	Renamed	-		0		form=class parents=sge.utils.async.AsyncTask primary=(AssetManager,AssetDescriptor,AssetLoader,AsyncExecutor) primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.AssetManager	sge.assets.AssetManager	Renamed	-		0		companion=yes form=class parents=java.lang.AutoCloseable primary=(FileHandleResolver,boolean) primaryKind=unique-root primaryVis=public secondaries=();(FileHandleResolver) statics=RefCountedContainer
type	com.badlogic.gdx.assets.AssetManager$RefCountedContainer	sge.assets.AssetManager$RefCountedContainer	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.AssetLoader	sge.assets.loaders.AssetLoader	Renamed	-		0		flags=abstract form=class primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public tparams="[T <: java.lang.Object, P <: sge.assets.AssetLoaderParameters[T]]"
type	com.badlogic.gdx.assets.loaders.AsynchronousAssetLoader	sge.assets.loaders.AsynchronousAssetLoader	Renamed	-		0		flags=abstract form=class parents=sge.assets.loaders.AssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public tparams="[T <: java.lang.Object, P <: sge.assets.AssetLoaderParameters[T]]"
type	com.badlogic.gdx.assets.loaders.BitmapFontLoader	sge.assets.loaders.BitmapFontLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=BitmapFontParameter
type	com.badlogic.gdx.assets.loaders.BitmapFontLoader$BitmapFontParameter	sge.assets.loaders.BitmapFontLoader$BitmapFontParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.CubemapLoader	sge.assets.loaders.CubemapLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=CubemapLoaderInfo,CubemapParameter
type	com.badlogic.gdx.assets.loaders.CubemapLoader$CubemapLoaderInfo	sge.assets.loaders.CubemapLoader$CubemapLoaderInfo	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.CubemapLoader$CubemapParameter	sge.assets.loaders.CubemapLoader$CubemapParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.FileHandleResolver	sge.assets.loaders.FileHandleResolver	Renamed	-		0		form=trait
type	com.badlogic.gdx.assets.loaders.I18NBundleLoader	sge.assets.loaders.I18NBundleLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=I18NBundleParameter
type	com.badlogic.gdx.assets.loaders.I18NBundleLoader$I18NBundleParameter	sge.assets.loaders.I18NBundleLoader$I18NBundleParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=(Locale,String) primaryKind=unique-root primaryVis=public secondaries=();(Locale)
type	com.badlogic.gdx.assets.loaders.ModelLoader	sge.assets.loaders.ModelLoader	Renamed	-		0		companion=yes flags=abstract form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=ModelParameters tparams="[P <: sge.assets.loaders.ModelLoader.ModelParameters]"
type	com.badlogic.gdx.assets.loaders.ModelLoader$ModelParameters	sge.assets.loaders.ModelLoader$ModelParameters	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.MusicLoader	sge.assets.loaders.MusicLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=MusicParameter
type	com.badlogic.gdx.assets.loaders.MusicLoader$MusicParameter	sge.assets.loaders.MusicLoader$MusicParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.ParticleEffectLoader	sge.assets.loaders.ParticleEffectLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.SynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=ParticleEffectParameter
type	com.badlogic.gdx.assets.loaders.ParticleEffectLoader$ParticleEffectParameter	sge.assets.loaders.ParticleEffectLoader$ParticleEffectParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.PixmapLoader	sge.assets.loaders.PixmapLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=PixmapParameter
type	com.badlogic.gdx.assets.loaders.PixmapLoader$PixmapParameter	sge.assets.loaders.PixmapLoader$PixmapParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.ShaderProgramLoader	sge.assets.loaders.ShaderProgramLoader	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver,String,String,?) primaryKind=synthesised-primary primaryVis=protected secondaries=(FileHandleResolver);(FileHandleResolver,String,String) statics=ShaderProgramParameter
type	com.badlogic.gdx.assets.loaders.ShaderProgramLoader$ShaderProgramParameter	sge.assets.loaders.ShaderProgramLoader$ShaderProgramParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.SkinLoader	sge.assets.loaders.SkinLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=SkinParameter
type	com.badlogic.gdx.assets.loaders.SkinLoader$SkinParameter	sge.assets.loaders.SkinLoader$SkinParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=(String,ObjectMap) primaryKind=unique-root primaryVis=public secondaries=();(ObjectMap);(String)
type	com.badlogic.gdx.assets.loaders.SoundLoader	sge.assets.loaders.SoundLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=SoundParameter
type	com.badlogic.gdx.assets.loaders.SoundLoader$SoundParameter	sge.assets.loaders.SoundLoader$SoundParameter	Renamed	-		0		companion=yes form=class parents=sge.assets.AssetLoaderParameters primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.gdx.assets.loaders.SynchronousAssetLoader	sge.assets.loaders.SynchronousAssetLoader	Renamed	-		0		flags=abstract form=class parents=sge.assets.loaders.AssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public tparams="[T <: java.lang.Object, P <: sge.assets.AssetLoaderParameters[T]]"
type	com.badlogic.gdx.assets.loaders.TextureAtlasLoader	sge.assets.loaders.TextureAtlasLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.SynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=TextureAtlasParameter
type	com.badlogic.gdx.assets.loaders.TextureAtlasLoader$TextureAtlasParameter	sge.assets.loaders.TextureAtlasLoader$TextureAtlasParameter	Renamed	-		0		companion=yes disambiguator=marker form=class parents=sge.assets.AssetLoaderParameters primary=(boolean,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(boolean)
type	com.badlogic.gdx.assets.loaders.TextureLoader	sge.assets.loaders.TextureLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.AsynchronousAssetLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public statics=TextureLoaderInfo,TextureParameter
